location,year,day_of_week,value,min,max,one,aggregation
Kopernika,2020,Fri,1844,1843.962,1843.962,1,2
Kotlarska,2020,Fri,1755,1755.096,1755.096,1,2
Mogilska,2020,Fri,2196,2196.308,2196.308,1,2
Kopernika,2021,Fri,1816,1816,1816,1,2
Kotlarska,2021,Fri,1719,1719.377,1719.377,1,2
Mogilska,2021,Fri,2064,2063.792,2063.792,1,2
Kopernika,2022,Fri,2113,2113.439,2113.439,1,2
Kotlarska,2022,Fri,2134,2133.61,2133.61,1,2
Mogilska,2022,Fri,2563,2562.756,2562.756,1,2
Kopernika,2016,Sat,,,,1,2
Kotlarska,2016,Sat,169,169,169,1,2
Mogilska,2016,Sat,307,307,307,1,2
Kopernika,2017,Sat,,,,1,2
Kotlarska,2017,Sat,637,637.25,637.25,1,2
Mogilska,2017,Sat,944,943.692,943.692,1,2
Kopernika,2018,Sat,835,835.423,835.423,1,2
Kotlarska,2018,Sat,801,800.635,800.635,1,2
Mogilska,2018,Sat,1104,1104.269,1104.269,1,2
Kopernika,2019,Sat,1052,1052.231,1052.231,1,2
Kotlarska,2019,Sat,979,978.712,978.712,1,2
Mogilska,2019,Sat,1208,1208.173,1208.173,1,2
Kopernika,2020,Sat,1214,1213.558,1213.558,1,2
Kotlarska,2020,Sat,1266,1265.923,1265.923,1,2
Mogilska,2020,Sat,1445,1445.231,1445.231,1,2
Kopernika,2021,Sat,1213,1212.962,1212.962,1,2
Kotlarska,2021,Sat,1167,1167.231,1167.231,1,2
Mogilska,2021,Sat,1350,1349.942,1349.942,1,2
Kopernika,2022,Sat,1198,1197.854,1197.854,1,2
Kotlarska,2022,Sat,1195,1194.756,1194.756,1,2
Mogilska,2022,Sat,1407,1406.805,1406.805,1,2
Kopernika,2016,Sun,,,,1,2
Kotlarska,2016,Sun,132,132.333,132.333,1,2
Mogilska,2016,Sun,259,258.833,258.833,1,2
Kopernika,2017,Sun,,,,1,2
Kotlarska,2017,Sun,695,694.566,694.566,1,2
Mogilska,2017,Sun,996,996.415,996.415,1,2
Kopernika,2018,Sun,1026,1026.385,1026.385,1,2
Kotlarska,2018,Sun,959,959.327,959.327,1,2
Mogilska,2018,Sun,1235,1235.308,1235.308,1,2
Kopernika,2019,Sun,1145,1144.635,1144.635,1,2
Kotlarska,2019,Sun,1082,1082.462,1082.462,1,2
Mogilska,2019,Sun,1251,1251.404,1251.404,1,2
Kopernika,2020,Sun,1166,1166.481,1166.481,1,2
Kotlarska,2020,Sun,1175,1175.288,1175.288,1,2
Mogilska,2020,Sun,1324,1323.788,1323.788,1,2
Kopernika,2021,Sun,1317,1316.558,1316.558,1,2
Kotlarska,2021,Sun,1222,1221.558,1221.558,1,2
Mogilska,2021,Sun,1390,1390.269,1390.269,1,2
Kopernika,2022,Sun,1387,1386.951,1386.951,1,2
Kotlarska,2022,Sun,1367,1366.634,1366.634,1,2
Mogilska,2022,Sun,1561,1561.073,1561.073,1,2
