part,octave,stepname,step,alter,duration,dx,dy,angle
Piano,2,B,11,-1,6,-0.069146403,-0.217365112,0.950981983
Piano,2,B,11,-1,24,-0.011974589,0.227782526,0.508359033
Piano,2,B,11,-1,4,-0.011626617,0.2278021,0.508115566
Piano,2,B,11,-1,12,-0.009534435,0.227897792,0.506654764
Piano,2,B,11,-1,3,0.007559694,-0.227971736,0.005275118
Piano,2,B,11,-1,3,0.007674959,-0.227967386,0.005356273
Piano,2,B,11,-1,3,0.023801291,-0.226851701,0.01663691
Piano,2,B,11,-1,3,0.023916556,-0.226840827,0.016718065
Piano,2,B,11,-1,3,0.024262354,-0.226803855,0.016961532
Piano,2,B,11,-1,3,0.024377619,-0.226790806,0.017042688
Piano,2,B,11,-1,3,0.024725591,-0.226753834,0.017286155
Piano,2,B,11,-1,3,0.024840857,-0.226740785,0.017367311
Piano,2,B,11,-1,3,0.026574193,-0.22654505,0.018584645
Piano,2,B,11,-1,3,0.026689459,-0.226529827,0.018665801
Piano,2,B,11,-1,3,0.027037431,-0.22649068,0.018909268
Piano,2,B,11,-1,3,0.027152697,-0.226475456,0.018990424
Piano,2,B,11,-1,3,0.027498494,-0.226434134,0.019233891
Piano,2,B,11,-1,3,0.02761376,-0.226418911,0.019315046
Piano,2,B,11,-1,3,0.029344921,-0.226201428,0.020532381
Piano,2,B,11,-1,3,0.029460187,-0.226186204,0.020613537
Piano,2,B,11,-1,3,0.029805984,-0.226142708,0.020857004
Piano,2,B,11,-1,3,0.02992125,-0.226127484,0.020938159
Piano,2,B,11,-1,3,0.030267047,-0.226079638,0.021181626
Piano,2,B,11,-1,3,0.030382313,-0.226064414,0.021262782
Piano,2,B,11,-1,3,0.032915984,-0.225709917,0.023048206
Piano,2,B,11,-1,6,0.036711055,0.225124889,0.474273657
Piano,2,B,11,-1,6,0.041293412,0.224328903,0.471027431
Piano,2,B,11,-1,6,0.043237706,0.223961358,0.469647784
Piano,2,B,11,-1,3,0.048931399,-0.222786952,0.034409998
Piano,2,B,11,-1,3,0.049385938,-0.22268691,0.034734621
Piano,2,B,11,-1,6,0.049614295,0.222636889,0.465103068
Piano,2,B,11,-1,6,0.054144456,0.221577749,0.461856841
